"Data Source","世界发展指标",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"中国","CHN","来自DAC捐助国的双边援助净流量，爱尔兰（现价美元）","DC.DAC.IRLL.CD","","","","","","","","","","","","","","","","","","","","","","","19999.9995529652","29999.9993294477","29999.9993294477","59999.9986588955","100000.001490116","79999.9982118607","9999.99977648258","9999.99977648258","","9999.99977648258","39999.9991059303","29999.9993294477","90000.0035762787","219999.998807907","400000.005960464","370000.004768372","529999.971389771","600000.023841858","400000.005960464","389999.985694885","560000.002384186","280000.001192093","509999.990463257","699999.988079071","790000.021457672","519999.980926514","1830000.04291534","119999.997317791","159999.996423721","50000.0007450581","70000.0002980232","59999.9986588955","19999.9995529652","","8294.00029033422","9018.00021529198","34816.00061059","38020.9982395172","37840.0012850761","51217.9993093014","54855.9986054897","35360.9994053841","",
"中国","CHN","来自DAC捐助国的双边援助净流量，法国（现价美元）","DC.DAC.FRAL.CD","","","","","","","","","","","","","","","","","","","","","","2710000.03814697","2279999.97138977","4699999.80926514","5969999.79019165","6300000.19073486","9909999.84741211","46939998.626709","133990005.493164","179899993.896484","88010002.1362305","138460006.713867","153389999.389648","102550003.051758","97660003.6621094","91169998.1689453","97190002.4414063","50110000.6103516","29760000.2288818","46169998.1689453","45990001.6784668","42799999.2370605","77190002.4414063","74290000.9155273","102800003.051758","125199996.948242","142800003.051758","132300003.051758","207509994.506836","364350006.103516","316690002.441406","290970001.220703","288130004.882813","148740005.493164","91790000.9155273","68556076.0498047","58798652.6489258","64453994.7509766","-32641899.1088867","67479072.5708008","-48598430.6335449","","","","",
"中国","CHN","来自DAC捐助国的双边援助净流量，丹麦（现价美元）","DC.DAC.DNKL.CD","","","","","","","","","","","","","","","","","","","","","19999.9995529652","59999.9986588955","8489999.77111816","5190000.05722046","2170000.07629395","8319999.69482422","19219999.3133545","23190000.5340576","19479999.5422363","10989999.7711182","10970000.2670288","6780000.20980835","14819999.6948242","3720000.02861023","-310000.002384186","10069999.6948242","20920000.0762939","13720000.2670288","-3849999.90463257","59999.9986588955","-1710000.03814697","10229999.5422363","6309999.94277954","-18520000.4577637","16159999.8474121","4760000.22888184","5480000.01907349","-2549999.95231628","349999.994039536","14729999.5422363","750000","12079999.9237061","5650184.1545105","-5716513.15689087","-9435278.89251709","418909.013271332","3276568.88961792","-9095190.04821777","2858067.98934937","685169.994831085","-1000252.96211243","414523.988962173","1133036.01741791","425494.998693466","",
"中国","CHN","来自DAC捐助国的双边援助净流量，欧盟机构（现价美元）","DC.DAC.CECL.CD","","","","","","","","","","","","","","","","","","","","","","7159999.84741211","","","","879999.995231628","7510000.22888184","6650000.09536743","45810001.373291","41240001.6784668","51500000","26770000.4577637","31290000.9155273","19510000.2288818","14100000.3814697","32650001.5258789","34779998.7792969","15470000.2670288","21729999.5422363","39590000.1525879","27440000.5340576","23639999.3896484","31139999.3896484","55380001.0681152","49470001.2207031","66870002.746582","42069999.6948242","56000000","59619998.9318848","42889999.3896484","42590000.1525879","176630004.882813","165639999.389648","79724510.1928711","61981044.7692871","91350524.9023438","113660156.25","83875717.1630859","180935729.980469","77589218.1396484","160567062.37793","73446609.4970703","96112106.3232422","120091705.322266","",
"中国","CHN","来自发展援助委员会（DAC）捐助国的净双边援助流动，澳大利亚（现价美元）","DC.DAC.AUSL.CD","","","","","","","","","","","","","","","","","","","","9999.99977648258","79999.9982118607","1399999.97615814","3140000.10490417","6449999.80926514","10829999.9237061","17290000.9155273","14350000.3814697","14270000.4577637","20610000.6103516","24629999.1607666","31479999.5422363","40310001.373291","38319999.6948242","46430000.3051758","75610000.6103516","55220001.2207031","22870000.8392334","35970001.2207031","25149999.6185303","27110000.6103516","29430000.3051758","27860000.6103516","26409999.8474121","31829999.9237061","37540000.9155273","34750000","34549999.2370605","46810001.373291","32110000.6103516","29530000.6866455","32270000.4577637","34560001.373291","32659999.8474121","10689999.5803833","11960000.038147","7501285.07614136","3787266.96968079","7614890.09857178","4342298.98452759","362475.007772446","459876.000881195","213620.007038116","260226.011276245","193436.995148659","",
"中国","CHN","国内上市公司，总数","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323","524","799","909","947","1086","1154","1223","1285","1373","1377","1421","1530","1604","1700","2063","2342","2494","2489","2613","2827","3052","3485","3584","12730","12341","11629","11497","11348","11231",
"中国","CHN","Control of Corruption: Standard Error","CC.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188621625304222","","0.172851055860519","","0.166502684354782","","0.15871924161911","0.154182001948357","0.14701084792614","0.142573788762093","0.139041870832443","0.147818326950073","0.140959486365318","0.137772098183632","0.137335002422333","0.141881883144379","0.132468059659004","0.131304398179054","0.128119170665741","0.127344578504562","0.13357400894165","0.122754022479057","0.128402382135391","0.138740569353104","0.140711337327957","0.154406443238258","0.153896272182465","0.161518335342407","",
"中国","CHN","Control of Corruption: Number of Sources","CC.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","7","","7","8","10","10","11","12","12","12","13","14","14","13","11","11","12","12","12","11","10","10","10","9","",
"中国","CHN","私人转移，接收（国际收支平衡，现价美元）","BX.TRF.PWKR.CD","","","","","","","","","","","","","","","","","","","","","","","541000000","446000000","317000000","180000000","208000000","166000000","129000000","76000000","124000000","207000000","228000000","108000000","395000000","350000000","1672000000","4423000000","247000000","384000000","556211000","912000000","1679318427.8313","3342737377","4626861352.4576","","","","","","","","","","","","","6977480835.8","6196417436.29","4036530449.73","4161951876.58","5361455676.12","5669106872.5","6891387489.54","6425401340.51",
"中国","CHN","外国直接投资净流入（BoP，现价美元）","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","80000","57000000","265000000","430000000","636000000","1258000000","1659000000","1875000000","2314000000","3194000000","3393000000","3487000000","4366000000","11156000000","27515000000","33787000000","35849200000","40180000000","45439000000","45644000000","41014000000","42095300000","47053000000","53073618897.4036","57900937467.3864","68117272181.2194","104108693867.085","124082035618.505","156249335203.201","171534650311.568","131057052869.5","243703434558.177","280072219149.934","241213868161.42","290928431467.003","268097181064.335","242489331627.398","174749584584.05","166083755721.648","235365050036.341","187169822364.755","253095616058.58","344074977062.48","190203789092.51","51338076801.59","18556141172.84",
