SJW-00	双轨弧线汇综合层	nodes=10	hub_arc
SJW-01	三弧叠合崛起窗口	nodes=8	triple_arc
SJW-02	联盟死结→总体战	nodes=7	alliance_tri
SJW-03	动员塔→多轴碎裂	nodes=8	tower_fracture
SJW-04	双透镜边界闸	nodes=6	dual_lens
SJW-05	运动谱系分叉树	nodes=7	fork_tree
SJW-06	三学说汇政策漏斗	nodes=7	doctrine_funnel
SJW-07	信用锚接力棒	nodes=6	baton_relay
SJW-08	MAD天花板+危机楼梯	nodes=5	mad_stairs
SJW-09	三帝国衰减轨道	nodes=6	orbit_decay
SJW-10	主权后三河道	nodes=7	river_fork
SJW-11	煤铁蒸汽—信用螺旋	nodes=7	helix
SJW-12	维也纳会议圆桌	nodes=7	concert
SJW-13	霸权锚链迁移	nodes=6	anchor_chain
SJW-14	大分流Y分叉	nodes=6	bifurcate
SJW-15	明治—战败—MITI两段	nodes=6	two_stage
SJW-16	布雷顿—冲击—广场链	nodes=6	money_links
SJW-17	三区域河道对照	nodes=6	region_rivers
SJW-18	碳基上限楔形	nodes=6	carbon_wedge
SJW-19	革命螺旋→大陆体系	nodes=6	revolt_spiral
SJW-20	工业追赶+联盟死结	nodes=6	catchup_knot
SJW-21	油井—海峡—租金三角	nodes=6	oil_triangle
SJW-22	双轨开放窗口	nodes=6	dual_track
SJW-23	发展型树冠五干	nodes=6	canopy
SJW-24	威权汲取→财阀出口→双冲击	nodes=6	siphon
SJW-25	ISI墙→外债管→断裂	nodes=6	isi
SJW-26	EMS带→马约门→欧元缺口	nodes=6	emu
SJW-27	土改→EPZ→芯片阶地	nodes=6	island
SJW-28	民主+计划双轨	nodes=6	india
SJW-29	四小虎对照扇面	nodes=6	tigers
SJW-30	资源—主权张力菱形	nodes=6	africa
SJW-31	联合国秩序层环	nodes=6	un
SJW-32	标准—算力—联盟三角	nodes=6	tech
